Title,Company,Location,Info,URL
Beta Tester - Frontend Developer - job post,happy hive,Remote,Internship / Co-op,https://ca.indeed.com/jobs?q=Tester&l=Canada&vjk=a037fc2e0da3a6fe&advn=2035941575896319
Senior QA Tester (Manual) - job post,SPUD,Hybrid work,"$65,000–$75,000 a year -  Full-time",https://ca.indeed.com/jobs?q=Tester&l=Canada&vjk=6484b01f4906ea20
QA Manual/Automation Tester - job post,Bridges Health Services Inc.,Remote,"$40,000–$48,000 a year -  Full-time",https://ca.indeed.com/jobs?q=Tester&l=Canada&vjk=3fe3a6b0f32eafac
Junior QA Tester - job post,Dawn InfoTek Inc.,"North York, ON•Hybrid work","$45,000–$50,000 a year -  Temporary, Fixed term contract",https://ca.indeed.com/jobs?q=Tester&l=Canada&vjk=1f1cae04422344be
QA Tester - job post,CGI,"Toronto, ON•Hybrid work",Full-time,https://ca.indeed.com/jobs?q=Tester&l=Canada&vjk=e0d357fa8fe4d9a0
Quality Assurance Tester - job post,Create Music Group,Remote,"$80,000–$95,000 a year",https://ca.indeed.com/jobs?q=Tester&l=Canada&vjk=d72766dfdf0345e4
UAT Tester - job post,Virtusa,"Toronto, ON","From $55 an hour -  Temporary, Fixed term contract",https://ca.indeed.com/jobs?q=Tester&l=Canada&vjk=ed46579e1ea17f11
Software Tester - job post,AJ BUSINESS AND IT SERVICES LTD,"Markham, ON•Remote",$37 an hour -  Full-time,https://ca.indeed.com/jobs?q=Tester&l=Canada&vjk=903d48c7c09b2cef
Senior Tester - job post,Transatlantic Business Consulting Inc.,Remote,"$75–$80 an hour -  Temporary, Fixed term contract",https://ca.indeed.com/jobs?q=Tester&l=Canada&vjk=5632a1e1bfe4005f
Development Tester - job post,Ubisoft,"Halifax, NS•Hybrid work",Permanent,https://ca.indeed.com/jobs?q=Tester&l=Canada&vjk=9bf09de464071167
Hiring for Automation Tester!! - job post,Kumaran Systems Pvt Ltd,"Toronto, ON•Hybrid work","$70,000–$80,000 a year -  Full-time",https://ca.indeed.com/jobs?q=Tester&l=Canada&vjk=3d5cf95f9756d31b
Lead Systems Developer Tester - job post,Ministry of Health,"Toronto, ON","$1,419.43–$1,814.12 a week -  Permanent",https://ca.indeed.com/jobs?q=Tester&l=Canada&vjk=19c8722814c1f45f
Co-op QA Tester - job post,ATS Software,"Scarborough, ON","$17–$20 an hour -  Temporary, Contract, Fixed term contract",https://ca.indeed.com/jobs?q=Tester&l=Canada&vjk=99a85fed469344c1
software tester - job post,Insta Software Solution Inc,"Brampton, ON","$38.50 an hour -  Permanent, Full-time",https://ca.indeed.com/jobs?q=Tester&l=Canada&vjk=ccd790ce5ed0ca41
software tester - job post,GreenChip Consulting,"Toronto, ON•Remote","$35 an hour -  Permanent, Full-time",https://ca.indeed.com/jobs?q=Tester&l=Canada&vjk=a863bf168532ea8a
